"","Breed","Taranaki","Tasman","Waikato","Wellington","West_Coast"
"1","All cross breeds",6548,4741,24237,22329,2005
"2","All pure and cross breeds",17790,10919,61601,50760,4743
"3","All pure breeds",11242,6178,37364,28431,2738
"4","Beagle",54,35,224,280,17
"5","Bichon Frise",287,101,515,620,128
"6","Boxer",157,78,409,291,33
"7","Brazilian Fila",0,0,0,0,0
"8","Cattle, Australian",142,159,702,256,29
"9","Chihuahua, Long Coat",123,35,434,351,16
"10","Chihuahua, Smooth Coat",101,47,337,231,49
"11","Collie, Bearded",90,101,362,164,38
"12","Collie, Border",674,661,2003,1383,308
"13","Collie, Rough",24,14,105,67,3
"14","Collie, Smooth",8,187,35,20,0
"15","Dogo Argentino",1,0,6,2,2
"16","Greyhound",163,52,655,453,11
"17","Heading",754,259,2474,1277,65
"18","Huntaway",897,479,3585,1737,167
"19","Maltese",188,54,498,241,27
"20","Other pure breeds",2750,1571,9128,8084,694
"21","Perro de Presa Canario",0,0,0,0,0
"22","Poodle, Miniature",92,44,260,352,24
"23","Poodle, Toy",107,38,353,237,22
"24","Retriever, Golden",236,166,724,876,56
"25","Retriever, Labrador",1274,586,4680,3593,367
"26","Rottweiler",334,93,1029,629,61
"27","Schnauzer, Miniature",236,109,729,813,23
"28","Shepherd, German",338,189,1355,1083,67
"29","Shih Tzu",244,58,622,500,24
"30","Spaniel, Cavalier King Charles",139,29,225,374,15
"31","Spaniel, Cocker",69,78,395,419,35
"32","Spaniel, English Springer",58,83,394,278,30
"33","Terrier, American Pit Bull",113,10,277,199,17
"34","Terrier, Fox (Smooth)",477,170,2077,1189,138
"35","Terrier, Jack Russell",518,380,1496,1186,142
"36","Terrier, Staffordshire Bull",510,228,1060,946,120
"37","Terrier, West Highland White",84,84,216,300,10
"38","Tosa, Japanese",0,0,0,0,0
