"","Breed","Manawatu_Whanganui","Marlborough","Nelson","Otago","Southland","Northland"
"1","All cross breeds",11987,4200,2693,11666,7499,9349
"2","All pure and cross breeds",45676,10444,5377,33644,24552,24532
"3","All pure breeds",33689,6244,2684,21978,17053,15183
"4","Beagle",183,21,27,100,72,51
"5","Bichon Frise",527,140,101,396,391,273
"6","Boxer",343,80,45,212,146,169
"7","Brazilian Fila",0,0,0,0,0,0
"8","Cattle, Australian",286,50,39,103,54,391
"9","Chihuahua, Long Coat",169,49,17,81,67,179
"10","Chihuahua, Smooth Coat",303,34,40,278,247,149
"11","Collie, Bearded",255,116,27,208,204,127
"12","Collie, Border",1619,366,173,2538,744,1442
"13","Collie, Rough",114,30,7,116,399,22
"14","Collie, Smooth",77,332,4,1538,1199,23
"15","Dogo Argentino",10,0,0,0,3,0
"16","Greyhound",1067,46,34,136,87,72
"17","Heading",3705,521,20,1130,1597,512
"18","Huntaway",6325,633,54,1841,2541,1654
"19","Maltese",292,77,39,189,134,135
"20","Other pure breeds",6734,1442,857,4617,2800,3987
"21","Perro de Presa Canario",0,0,0,0,0,0
"22","Poodle, Miniature",220,42,33,121,87,140
"23","Poodle, Toy",204,29,17,120,91,131
"24","Retriever, Golden",467,132,85,520,247,235
"25","Retriever, Labrador",3444,624,246,2767,2225,1624
"26","Rottweiler",745,86,42,268,310,354
"27","Schnauzer, Miniature",368,136,94,420,207,124
"28","Shepherd, German",844,128,53,426,378,549
"29","Shih Tzu",540,42,43,296,267,418
"30","Spaniel, Cavalier King Charles",321,52,36,133,91,88
"31","Spaniel, Cocker",188,102,72,341,228,135
"32","Spaniel, English Springer",178,65,27,419,238,104
"33","Terrier, American Pit Bull",358,15,13,55,28,45
"34","Terrier, Fox (Smooth)",1731,266,96,644,566,705
"35","Terrier, Jack Russell",1187,379,149,1111,928,866
"36","Terrier, Staffordshire Bull",679,168,145,688,424,403
"37","Terrier, West Highland White",206,41,49,166,53,76
"38","Tosa, Japanese",0,0,0,0,0,0
